PDV,Latitud Facturacion,Longitud Facturacion,Latitud Check in ,Longitud Check in ,Latitud FA,Longitud FA
AB AVILA AHOME,25.7866635,-108.9889375,25.7873999,-108.994764,, 
AB AVILA AHOME,25.7866635,-108.9889375,25.7653649,-108.9949615,, 
AB AVILA AHOME,25.7866635,-108.9889375,,,, 
AB AVILA YARDA,25.778339,-108.983551,25.8210159,-109.002248,, 
AB AVILA YARDA,25.778339,-108.983551,25.768623,-108.9957511,, 
AB AVILA YARDA,25.778339,-108.983551,,,, 
CASA VARGAS AYOTLA,19.324569,-98.944576,,,, 
NEGRETE SUBODEGA,21.983737,-99.014909,22.0255325,-99.0261482,, 
NEGRETE SUBODEGA,21.983737,-99.014909,21.9955816,-99.0248001,, 
PG00351|BENAVIDES SUC. ANAHUAC,25.739584,-100.30241,25.7453291,-100.3023621,, 
PG00351|BENAVIDES SUC. ANAHUAC,25.739584,-100.30241,25.74537,-100.3016656,, 
PG00354|FARMACIAS DEL AHORRO SUC. SAN MATEO PUENTE,19.28479533,-99.53053,19.2763991,-99.5907746,, 
PG00354|FARMACIAS DEL AHORRO SUC. SAN MATEO PUENTE,19.28479533,-99.53053,,,, 
PG00501|CHEDRAUI SUC. MATAMOROS II,25.836282,-97.499546,25.8357136,-97.5006992,, 
PG00606|FARMACIAS DEL AHORRO SUC. ALAMEDA,18.9628245,-100.390006,20.5878032,-100.3900212,, 
PG00606|FARMACIAS DEL AHORRO SUC. ALAMEDA,18.9628245,-100.390006,,,, 
PG00645|FARMACIAS DEL AHORRO SUC. LOPEZ RAYON,19.288007,-99.652765,19.2908297,-99.6583484,, 
PG00805|BENAVIDES SUC. 5 DE FEBRERO,24.02391825,-104.6674053,,,, 
PG01315|WALMART SUC. TAXQUEÑA,19.34489436,-99.18191682,19.3821212,-99.1932579,, 
PG01512|SORIANA HIPER SUC. HAMBURGO,25.594154,-103.503253,25.6092795,-103.4915461,, 
PG01778|BENAVIDES SUC. BLVD. MATEOS,29.330218,-100.944434,,,, 
PG02014|FARMACIAS GUADALAJARA SUC. COLIMA MADERO,19.24195325,-103.7263731,,,, 
PG02093|BODEGA AURRERA SUC. CABEZA DE JUAREZ,19.37776514,-99.05792286,19.3411111,-99.0631709,, 
PG02093|BODEGA AURRERA SUC. CABEZA DE JUAREZ,19.37776514,-99.05792286,19.3726393,-99.0572803,, 
PG02093|BODEGA AURRERA SUC. CABEZA DE JUAREZ,19.37776514,-99.05792286,,,, 
PG02306|FARMACIAS MODERNA SUC. ZONA DORADA,23.24193914,-106.4477217,,,, 
PG02413|WALMART SUC. CARRETERA 57,22.137315,-101.002664,22.1380511,-100.9357364,, 
PG02413|WALMART SUC. CARRETERA 57,22.137315,-101.002664,22.1380662,-100.9357432,, 
PG02533|MERCADO SORIANA SUC. CENTER PLAZA ARAGON,19.464759,-99.05685078,19.5162362,-99.0351418,, 
PG02533|MERCADO SORIANA SUC. CENTER PLAZA ARAGON,19.464759,-99.05685078,19.5160516,-99.0349064,, 
PG02656|CHEDRAUI SUC. IZTAPALAPA,19.35906,-99.063319,,,, 
PG02948|FARMACIAS GUADALAJARA SUC. COLIMA MAESTROS,19.2523125,-103.7225246,,,, 
PG02965|FARMACIAS DEL AHORRO SUC. AV. MEXICO,19.310179,-99.2302761,,,, 
PG03107|CHEDRAUI SUC. MADERO,22.254012,-97.854088,22.2152758,-97.8606416,, 
PG03109|FARMACIAS MODERNA SUC. CENTRAL CAMIONERA,23.225774,-106.420471,23.2541458,-106.4377506,, 
PG03109|FARMACIAS MODERNA SUC. CENTRAL CAMIONERA,23.225774,-106.420471,,,, 
PG03221|BODEGA AURRERA SUC. LOS ANGELES IZTAPALAPA,19.34591,-99.06917475,19.3369017,-99.06438494,, 
PG03221|BODEGA AURRERA SUC. LOS ANGELES IZTAPALAPA,19.34591,-99.06917475,,,, 
PG03227|LA COMER SUC. LAS TORRES,19.35305917,-99.01236333,19.3437562,-99.033691,, 
PG03227|LA COMER SUC. LAS TORRES,19.35305917,-99.01236333,19.3428915,-99.0451686,, 
PG03227|LA COMER SUC. LAS TORRES,19.35305917,-99.01236333,,,, 
PG03230|BODEGA AURRERA SUC. IZTAPALAPA,19.354857,-99.103939,,,, 
PG03307|FARMACIAS GUADALAJARA SUC. COLIMA LOMAS,19.2527975,-103.7129861,19.2582042,-103.7109978,, 
PG03307|FARMACIAS GUADALAJARA SUC. COLIMA LOMAS,19.2527975,-103.7129861,19.2567765,-103.7106358,, 
PG03309|FARMACIAS DEL AHORRO SUC. FELIX CUEVAS,19.37200538,-99.171118,,,, 
PG03359|BENAVIDES SUC. URDINOLA,25.4155923,-100.9865733,25.4713856,-100.9728641,, 
PG03508|FARMACIAS DEL AHORRO SUC. SANTIAGO CENTRO,19.18074,-99.468743,19.2277594,-99.633623,, 
PG03508|FARMACIAS DEL AHORRO SUC. SANTIAGO CENTRO,19.18074,-99.468743,19.2282168,-99.6325027,, 
PG03508|FARMACIAS DEL AHORRO SUC. SANTIAGO CENTRO,19.18074,-99.468743,,,, 
PG03711|FARMACIAS DEL AHORRO SUC. LAS FLORES,19.652293,-99.093669,,,, 
PG03998|FARMACIAS GUADALAJARA SUC. SAN LUIS POTOSI JARDINE,22.1448408,-101.0060577,22.1471876,-101.0133805,, 
PG04073|SORIANA HIPER SUC. CIGARRERA,21.4914786,-104.883226,21.4975025,-104.8842167,21.49767764,-104.8842654
PG04073|SORIANA HIPER SUC. CIGARRERA,21.4914786,-104.883226,21.4971724,-104.8833838,21.49767764,-104.8842654
PG04073|SORIANA HIPER SUC. CIGARRERA,21.4914786,-104.883226,21.4975258,-104.8841974,21.49767764,-104.8842654
PG04073|SORIANA HIPER SUC. CIGARRERA,21.4914786,-104.883226,21.4974613,-104.8842133,21.49767764,-104.8842654
PG04178|WALMART SUC. TEPIC,21.491594,-104.8811344,,,, 
PG04184|FARMACIAS DEL AHORRO SUC. BARRANCA,19.362011,-99.182785,,,, 
PG04186|FARMACIAS MODERNA SUC. CLINICA DEL MAR,23.238483,-106.43036,23.24764732,-106.4307139,, 
PG04186|FARMACIAS MODERNA SUC. CLINICA DEL MAR,23.238483,-106.43036,23.22576427,-106.3956958,, 
PG04189|BENAVIDES SUC. NAYARABASTOS,21.474731,-104.859803,21.4884715,-104.8803067,, 
PG04224|FARMACIAS GUADALAJARA SUC. TOLUCA ISIDRO FABELA,19.287068,-99.641772,19.2761932,-99.6455658,, 
PG04830|BODEGA AURRERA SUC. FUENTES DEL VALLE,19.628823,-99.140608,19.6365741,-99.0971787,, 
PG05064|FARMACIAS DEL AHORRO SUC. MATIAS ROMERO,19.381661,-99.171631,19.3681966,-99.1768306,, 
PG05064|FARMACIAS DEL AHORRO SUC. MATIAS ROMERO,19.381661,-99.171631,19.3586987,-99.0929414,, 
PG05064|FARMACIAS DEL AHORRO SUC. MATIAS ROMERO,19.381661,-99.171631,19.3748063,-99.1632256,, 
PG05064|FARMACIAS DEL AHORRO SUC. MATIAS ROMERO,19.381661,-99.171631,19.3747589,-99.1629781,, 
PG05064|FARMACIAS DEL AHORRO SUC. MATIAS ROMERO,19.381661,-99.171631,,,, 
PG05143|FARMACIAS MODERNA SUC. ALEMAN,23.196238,-106.420885,23.2253993,-106.4205416,, 
PG05143|FARMACIAS MODERNA SUC. ALEMAN,23.196238,-106.420885,,,, 
PG05179|BENAVIDES SUC. MIRADOR,28.644404,-106.1123593,28.6443247,-106.1124429,, 
PG05713|FARMACIAS DEL AHORRO SUC. JUAREZ,19.2809215,-99.6407525,,,, 
PG05732|CHEDRAUI SELECTO SUC. INTERLOMAS,19.4051317,-99.2722083,,,, 
PG06033|FARMACIAS MODERNA SUC. POLIMEDICA,23.24264022,-106.4412975,,,, 
PG06111|HEB SUC. NUEVO LAREDO,27.461788,-99.510868,27.4576517,-99.5134489,, 
PG06345|WALMART SUC. FELIX CUEVAS,19.372456,-99.176259,,,, 
PG06413|FARMACIAS MODERNA SUC. JABALIES,23.253146,-106.409987,23.2238147,-106.4157429,, 
PG06413|FARMACIAS MODERNA SUC. JABALIES,23.253146,-106.409987,,,, 
PG06578|WALMART SUC. COLIMA NORTE,19.25630695,-103.7212846,19.2822303,-103.7313545,, 
PG06608|BENAVIDES SUC. PINOS,21.479761,-104.89207,21.5261091,-104.8878122,, 
PG06608|BENAVIDES SUC. PINOS,21.479761,-104.89207,21.4733709,-104.8898179,, 
PG06608|BENAVIDES SUC. PINOS,21.479761,-104.89207,,,, 
PG06658|FARMACIAS DEL AHORRO SUC. OLIVAR DE LOS PADRES,19.340717,-99.210065,19.378606,-99.1920863,, 
PG06658|FARMACIAS DEL AHORRO SUC. OLIVAR DE LOS PADRES,19.340717,-99.210065,19.3821002,-99.1932658,, 
PG06658|FARMACIAS DEL AHORRO SUC. OLIVAR DE LOS PADRES,19.340717,-99.210065,,,, 
PG06720|BENAVIDES SUC. DEL VALLE,21.491139,-104.88303,21.4918676,-104.8880159,, 
PG06720|BENAVIDES SUC. DEL VALLE,21.491139,-104.88303,21.5261613,-104.8877599,, 
PG06720|BENAVIDES SUC. DEL VALLE,21.491139,-104.88303,,,, 
PG06722|WALMART SUC. UNIVERSIDAD,19.36913618,-99.16435136,19.3748021,-99.1631137,, 
PG06722|WALMART SUC. UNIVERSIDAD,19.36913618,-99.16435136,19.3748114,-99.1632062,, 
PG06722|WALMART SUC. UNIVERSIDAD,19.36913618,-99.16435136,,,, 
PG06941|BODEGA AURRERA SUC. ZARAGOZA,19.392888,-99.051085,19.3738594,-99.0586104,, 
PG06941|BODEGA AURRERA SUC. ZARAGOZA,19.392888,-99.051085,,,, 
PG07283|FARMACIAS MODERNA SUC. JUAREZ II,23.231957,-106.403855,,,, 
PG07632|SORIANA HIPER SUC. PORVENIR,31.6582856,-106.3606896,31.6507931,-106.3564797,, 
PG07632|SORIANA HIPER SUC. PORVENIR,31.6582856,-106.3606896,,,, 
PG07726|FARMACIAS DEL AHORRO SUC. SOFIA,19.35819886,-99.18974214,19.3821247,-99.1932591,, 
PG07726|FARMACIAS DEL AHORRO SUC. SOFIA,19.35819886,-99.18974214,19.3725073,-99.1930277,, 
PG07726|FARMACIAS DEL AHORRO SUC. SOFIA,19.35819886,-99.18974214,,,, 
PG07747|SORIANA HIPER SUC. SAN JERONIMO,19.330478,-99.208962,19.3820953,-99.1932952,, 
PG07747|SORIANA HIPER SUC. SAN JERONIMO,19.330478,-99.208962,19.3821184,-99.1932753,, 
PG07747|SORIANA HIPER SUC. SAN JERONIMO,19.330478,-99.208962,,,, 
PG07748|BENAVIDES SUC. CENTRO DE MONTERREY,25.6735358,-100.3146382,25.6672584,-100.3121278,, 
PG07748|BENAVIDES SUC. CENTRO DE MONTERREY,25.6735358,-100.3146382,25.6672233,-100.3120999,, 
PG07748|BENAVIDES SUC. CENTRO DE MONTERREY,25.6735358,-100.3146382,25.6672813,-100.3120363,, 
PG07791|SUMESA SUC. CENTENARIO,19.357662,-99.163043,19.3732526,-99.1626578,, 
PG07792|BENAVIDES SUC. MITRAS,25.696741,-100.343694,25.7046037,-100.2857883,, 
PG07792|BENAVIDES SUC. MITRAS,25.696741,-100.343694,25.6965397,-100.3434231,, 
PG07944|LA COMER SUC. INSURGENTES,19.366736,-99.181837,19.3724697,-99.1761703,, 
PG07944|LA COMER SUC. INSURGENTES,19.366736,-99.181837,,,, 
PG08028|FARMACIAS GUADALAJARA SUC. MAZATLAN 2,23.202617,-106.420508,23.2317801,-106.4195328,, 
PG08028|FARMACIAS GUADALAJARA SUC. MAZATLAN 2,23.202617,-106.420508,23.232107,-106.4194286,, 
PG08028|FARMACIAS GUADALAJARA SUC. MAZATLAN 2,23.202617,-106.420508,,,, 
PG08068|FARMACIAS GUADALAJARA SUC. QUERETARO LUIS PASTEUR,20.5861735,-100.385335,20.6253861,-100.4596958,, 
PG08085|FARMACIAS GUADALAJARA SUC. COLIMA HIDALGO,19.2420141,-103.728288,,,, 
PG08113|WALMART SUC. TEPEYAC,19.4715163,-99.1198172,,,, 
PG08122|FARMACIAS GUADALAJARA SUC. AGUASCALIENTES UNIVERSI,21.909539,-102.310654,,,, 
PG08130|FARMACIAS GUADALAJARA SUC. TOLUCA CALZ.DEL PACIFICO,19.257163,-99.695732,19.2627254,-99.644678,, 
PG08130|FARMACIAS GUADALAJARA SUC. TOLUCA CALZ.DEL PACIFICO,19.257163,-99.695732,19.2889695,-99.6982422,, 
PG08130|FARMACIAS GUADALAJARA SUC. TOLUCA CALZ.DEL PACIFICO,19.257163,-99.695732,,,, 
PG08169|FARMACIAS GUADALAJARA SUC. TORREON LOS ANGELES,25.551993,-103.449872,,,, 
PG08189|FARMACIAS GUADALAJARA SUC. TOLUCA HIDALGO,19.29044767,-99.66298333,19.2620963,-99.6445976,, 
PG08189|FARMACIAS GUADALAJARA SUC. TOLUCA HIDALGO,19.29044767,-99.66298333,,,, 
PG08232|FARMACIAS GUADALAJARA SUC. TOLUCA BOSQUES DE COLON,19.257595,-99.659694,,,, 
PG08239|FARMACIAS GUADALAJARA SUC. SAN LUIS POTOSI CHAPULT,22.1348476,-101.0074612,22.1264742,-101.0175921,, 
PG08245|FARMACIAS GUADALAJARA SUC. QUERETARO AMSTERDAN,20.564265,-100.399862,20.5458383,-100.4148641,, 
PG08245|FARMACIAS GUADALAJARA SUC. QUERETARO AMSTERDAN,20.564265,-100.399862,,,, 
PG08290|FARMACIAS GUADALAJARA SUC. DURANGO BLVD. DURANGO,24.00897,-104.69374,24.010937,-104.6685622,, 
PG08290|FARMACIAS GUADALAJARA SUC. DURANGO BLVD. DURANGO,24.00897,-104.69374,24.0109453,-104.668654,, 
PG08290|FARMACIAS GUADALAJARA SUC. DURANGO BLVD. DURANGO,24.00897,-104.69374,24.0109603,-104.668477,, 
PG08545|WALMART SUC. TLALPAN,19.380296,-99.141278,,,, 
PG08637|SORIANA HIPER SUC. LIBRAMIENTO C.J.,31.624876,-106.353089,,,, 
PG08648|FARMACON SUC. NUEVO CULIACAN,24.78395,-107.41119,24.7387895,-107.3935421,, 
PG08802|FARMACIAS DEL AHORRO SUC. SANTA TERESA,19.30739683,-99.21307067,,,, 
PG09087|SORIANA HIPER SUC. SENDERO PERIFERICO,26.05361183,-98.36402933,26.0472675,-98.3565935,, 
PG09255|BENAVIDES SUC. PERIFERICO REYNOSA,26.05463586,-98.36492429,,,, 
PG09401|FARMACIAS DEL AHORRO SUC. TERMINAL,19.2770706,-99.643712,19.2759104,-99.6357721,, 
PG09401|FARMACIAS DEL AHORRO SUC. TERMINAL,19.2770706,-99.643712,,,, 
PG09478|BENAVIDES SUC. HERON RAMIREZ,26.0796555,-98.28736545,,,, 
PG09587|SORIANA HIPER SUC. COLIMA,19.272605,-103.737437,,,, 
PG09648|BENAVIDES SUC. JAZMINES,32.66476,-115.416208,,,, 
PG09675|WALMART SUC. CULIACAN,24.814754,-107.409167,,,, 
PG09706|SORIANA HIPER SUC. LOS CABOS,22.90387,-109.932,,,, 
PG09848|FARMACIAS DEL AHORRO SUC. LA HERRADURA,19.4291286,-99.2414698,19.4183234,-99.2672981,, 
PG09848|FARMACIAS DEL AHORRO SUC. LA HERRADURA,19.4291286,-99.2414698,19.4184608,-99.2669716,, 
PG09848|FARMACIAS DEL AHORRO SUC. LA HERRADURA,19.4291286,-99.2414698,19.418588,-99.2668207,, 
PG09848|FARMACIAS DEL AHORRO SUC. LA HERRADURA,19.4291286,-99.2414698,19.4185874,-99.2666997,, 
PG09848|FARMACIAS DEL AHORRO SUC. LA HERRADURA,19.4291286,-99.2414698,19.4671009,-99.2376892,, 
PG09848|FARMACIAS DEL AHORRO SUC. LA HERRADURA,19.4291286,-99.2414698,,,, 
PG10180|FARMACIAS GUADALAJARA SUC. SANTIAGO IXCUINTLA,21.8082014,-105.2060063,21.5130781,-104.8990337,, 
PG10583|FARMACIAS MODERNA SUC. EL DORADO,23.25063328,-106.4549674,,,, 
PG10887|FARMACIAS GUADALAJARA SUC. MATAMOROS NICOLAS BRAVO,25.883999,-97.499271,25.8778039,-97.5109051,, 
PG10887|FARMACIAS GUADALAJARA SUC. MATAMOROS NICOLAS BRAVO,25.883999,-97.499271,,,, 
PG10916|FARMACIAS DEL AHORRO SUC. SANTA LUCIA,19.3726445,-99.209335,19.3896217,-99.20151,, 
PG10939|FARMACIAS GUADALAJARA SUC. REYNOSA AV. OCCIDENTAL,26.072443,-98.291727,26.0053952,-98.258739,, 
PG10963|FARMACIAS GUADALAJARA SUC. VALLE HERMOSSO AV. VIST,26.05103107,-98.29920468,26.056534,-98.297724,, 
PG10996|FARMACIAS GUADALAJARA SUC. CD. MADERO AV. TAMAULIP,22.277233,-97.833159,22.2766767,-97.8422237,, 
PG11043|COSMOFARMACIAS/OSUNA PONCE AURELIO,31.8593976,-116.6044972,,,, 
PG11165|FARMACIAS GUADALAJARA SUC. CHIHUAHUA FRANCISCO VIL,28.6565954,-106.114866,28.6529385,-106.1098119,, 
PG11219|MEDEXX FARMACIAS SUC. CHAPALA,25.57672109,-103.5214361,,,, 
PG11326|FARMACIAS GUADALAJARA SUC. CULIACAN BENITO JUAREZ,24.807429,-107.375575,,,, 
PG11385|FARMACIAS ROMA SUC. STA. FE,32.4426024,-117.0365902,,,, 
PG11404|FARMACIAS MODERNA SUC. PLAYAS,23.2536232,-106.4220916,23.22957176,-106.3976845,, 
PG11407|FARMACIAS GUADALAJARA SUC. MAZATLAN AV. EJERCITO M,23.224717,-106.419832,23.2802883,-106.4348233,, 
PG11407|FARMACIAS GUADALAJARA SUC. MAZATLAN AV. EJERCITO M,23.224717,-106.419832,23.2804779,-106.4350312,, 
PG11407|FARMACIAS GUADALAJARA SUC. MAZATLAN AV. EJERCITO M,23.224717,-106.419832,23.2809401,-106.4354863,, 
PG11407|FARMACIAS GUADALAJARA SUC. MAZATLAN AV. EJERCITO M,23.224717,-106.419832,23.2317766,-106.4195273,, 
PG11407|FARMACIAS GUADALAJARA SUC. MAZATLAN AV. EJERCITO M,23.224717,-106.419832,,,, 
PG11408|FARMACIAS GUADALAJARA SUC. MAZATLAN INFONAVIT ALAR,23.267328,-106.411389,23.25350992,-106.4193755,, 
PG11408|FARMACIAS GUADALAJARA SUC. MAZATLAN INFONAVIT ALAR,23.267328,-106.411389,23.26956025,-106.4190369,, 
PG11408|FARMACIAS GUADALAJARA SUC. MAZATLAN INFONAVIT ALAR,23.267328,-106.411389,,,, 
PG11437|FARMACIAS GUADALAJARA SUC. NUEVO LAREDO LOS ALAMOS,27.460404,-99.506223,27.4949163,-99.5118064,, 
PG11462|FARMACON SUC. 16 DE SEPTIEMBRE,25.574,-108.4636867,25.5699709,-108.4611765,, 
PG11462|FARMACON SUC. 16 DE SEPTIEMBRE,25.574,-108.4636867,,,, 
PG11463|FARMACON SUC. GUASAVE,25.561094,-108.46178,25.5655057,-108.4558125,, 
PG11546|FARMACIAS GUADALAJARA SUC. MONTERREY LAZARO CARDEN,25.637164,-100.309883,,,, 
PG11560|FARMACIAS GUADALAJARA SUC. GUADALUPE EL CAMPESTRE,25.68239404,-100.2338444,25.7180439,-100.1792553,, 
PG11560|FARMACIAS GUADALAJARA SUC. GUADALUPE EL CAMPESTRE,25.68239404,-100.2338444,25.6776966,-100.2328516,, 
PG11560|FARMACIAS GUADALAJARA SUC. GUADALUPE EL CAMPESTRE,25.68239404,-100.2338444,,,, 
PG11603|BENAVIDES SUC. TEPIC TECNOLOGICO,21.472649,-104.854424,21.4744428,-104.8604068,, 
PG11603|BENAVIDES SUC. TEPIC TECNOLOGICO,21.472649,-104.854424,21.5218287,-104.8881968,, 
PG11603|BENAVIDES SUC. TEPIC TECNOLOGICO,21.472649,-104.854424,21.526134,-104.8877546,, 
PG11650|FARMACIAS GUADALAJARA SUC. MONTERREY AV. RODRIGO G,25.732703,-100.342744,,,, 
PG12287|FARMACIAS GUADALAJARA SUC. SANTIAGO IXCUINTLA 20 DE NOVIEMBRE,21.808679,-105.2105467,21.5104537,-104.8933854,, 
PG12484|FARMACIAS GUADALAJARA SUC. GUADALUPE AV. LAS AMERI,25.703348,-100.246606,25.7113141,-100.186834,, 
PG12658|FARMACIAS GUADALAJARA SUC. NUEVO LAREDO HEROE DE N,27.48725429,-99.51273386,,,, 
PG12734|BENAVIDES SUC. PROL. MONTERREY,27.45293933,-99.53193733,27.4670537,-99.5139569,, 
PG13022|FARMACIAS GUADALAJARA SUC. CD. MADERO AV. TORRE CA,22.276707,-97.842347,22.2772301,-97.8332382,, 
PG13153|FARMACIAS DEL AHORRO SUC. GANADEROS,19.34986,-99.11123632,19.353526,-99.1070545,, 
PG13153|FARMACIAS DEL AHORRO SUC. GANADEROS,19.34986,-99.11123632,,,, 
PG13156|BENAVIDES SUC. CHURUBUSCO,19.3611986,-99.1707212,19.3748264,-99.1630362,, 
